GEOID_T,EP_POV150,EP_UNEMP,EP_HBURD,EP_NOHSDP,EP_UNINSUR,EP_AGE65,EP_AGE17,EP_DISABL,EP_SNGPNT,EP_LIMENG,EP_MINRTY,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ
5079960500,13.1746953,0.7,18.24324324,12.2,3.3,24.4,25.79258463,17.8,3.378378378,0.856653341,21.01020956,0,10,1.486486486,0,7.092960774
40041375804,19.79414093,1.4,21.59090909,6.6,9.5,43.8,11.16389549,25.1,1.298701299,0,26.52414885,0,15.5,0,1.5,0
28001000600,38.81748072,7,16.98795181,19.8,10.3,17.2,18.93744644,18.8,10.48192771,0,59.04027421,0,0,0,4.6,0
9001044000,26.22140897,6.3,36.70827554,19.9,17.1,14.8,15.57182068,10,2.773925104,11.40537406,70.61299177,20.98346757,0,1.340730467,6.1,0.164684355
9005362102,7.859078591,1.7,17.6953125,2.9,1.3,33.8,14.81481481,11.3,2.265625,0,7.226738934,0.707213579,0,2.3828125,0.7,0.487804878
12115002729,8.13771518,20.4,18.97196262,4.2,8.5,72.5,1.1476265,25.5,0,0,0,7.734503566,70.9,0,0,0
6111005700,8.316291752,12,17.30449251,4.2,4,2.1,9.420668058,7,2.995008319,1.891447368,52.50521921,34.50920245,0,2.495840266,0,61.76931106
28149950500,39.93038289,4.9,34.42424242,10.8,6.7,19.8,25.35885167,21.6,15.63636364,1.158504476,56.26794258,18.13576494,10.6,1.939393939,11,7.320574163
5143010508,16.02242549,0.5,19.45606695,10.6,1.7,17.6,24.38521573,7.8,6.589958159,1.983314969,14.29833603,0,16.7,0.488145049,1.2,0.265056693
21137920301,45.76367243,7.8,16.72268908,19.4,1.9,18.9,26.77812411,20.1,4.033613445,0.267648043,5.128931709,0,28.6,2.605042017,5.2,0
48467950400,20.72095436,2.1,17.37179487,12.1,12.3,25.1,17.70833333,19.2,2.820512821,0,12.42378049,0,30.6,1.346153846,5.9,0
39113000700,45.70479355,24,43.20685435,18.7,9.2,15.8,17.13336497,25.8,12.3623011,0,96.15567157,2.341343192,0,0,20.8,0.901756051
21117063800,11.44230769,2.1,16.429895,5.2,5,15.4,10.47799937,11.9,4.570722668,0,11.90250079,18.08046534,0,0.555898703,3.5,1.234567901
21067003407,18.54653829,3.9,28.02850356,3.9,4.8,9.3,27.2352132,8.4,4.394299287,1.807664497,40.57771664,6.662902315,0.5,6.888361045,0,0
18061060201,21.40151515,5.5,17.42043551,10.8,7.5,17,20.50865801,16.7,4.271356784,0,3.923160173,0,13.1,0,4.9,0
37031970402,27.10788758,7,26.3502455,17.6,12.1,17,12.72401434,16.8,2.127659574,1.620591039,30.28673835,3.516998828,0.6,0,12.6,2.150537634
